x (SleepQualityScore),x - mean,(x - mean)^2
2.0,-0.96,0.9216
1.0,-1.96,3.8415999999999997
4.0,1.04,1.0816000000000001
1.0,-1.96,3.8415999999999997
2.0,-0.96,0.9216
3.0,0.040000000000000036,0.001600000000000003
3.0,0.040000000000000036,0.001600000000000003
2.0,-0.96,0.9216
5.0,2.04,4.1616
3.0,0.040000000000000036,0.001600000000000003
5.0,2.04,4.1616
2.0,-0.96,0.9216
5.0,2.04,4.1616
5.0,2.04,4.1616
1.0,-1.96,3.8415999999999997
5.0,2.04,4.1616
5.0,2.04,4.1616
1.0,-1.96,3.8415999999999997
3.0,0.040000000000000036,0.001600000000000003
2.0,-0.96,0.9216
1.0,-1.96,3.8415999999999997
3.0,0.040000000000000036,0.001600000000000003
2.0,-0.96,0.9216
2.0,-0.96,0.9216
5.0,2.04,4.1616
3.0,0.040000000000000036,0.001600000000000003
3.0,0.040000000000000036,0.001600000000000003
4.0,1.04,1.0816000000000001
4.0,1.04,1.0816000000000001
5.0,2.04,4.1616
2.0,-0.96,0.9216
3.0,0.040000000000000036,0.001600000000000003
4.0,1.04,1.0816000000000001
1.0,-1.96,3.8415999999999997
3.0,0.040000000000000036,0.001600000000000003
2.0,-0.96,0.9216
4.0,1.04,1.0816000000000001
2.0,-0.96,0.9216
2.0,-0.96,0.9216
4.0,1.04,1.0816000000000001
3.0,0.040000000000000036,0.001600000000000003
1.0,-1.96,3.8415999999999997
5.0,2.04,4.1616
1.0,-1.96,3.8415999999999997
3.0,0.040000000000000036,0.001600000000000003
3.0,0.040000000000000036,0.001600000000000003
4.0,1.04,1.0816000000000001
2.0,-0.96,0.9216
3.0,0.040000000000000036,0.001600000000000003
4.0,1.04,1.0816000000000001
